"sample_size","attrition_rate","intercept_t1","intercept_change","var_t1","var_change","reliability","self_feedback","sum_occured_neg_var","sum_converge","power"
180,0.1,50,5,1,0.05,0.7,-0.05,49,100,7
180,0.2,50,5,1,0.05,0.7,-0.05,42,100,2
180,0.4,50,5,1,0.05,0.7,-0.05,50,100,6
180,0.1,50,5,1,0.1,0.7,-0.05,13,100,12
180,0.2,50,5,1,0.1,0.7,-0.05,13,100,7
180,0.4,50,5,1,0.1,0.7,-0.05,18,100,9
180,0.1,50,5,1,0.2,0.7,-0.05,3,100,52
180,0.2,50,5,1,0.2,0.7,-0.05,3,100,46
180,0.4,50,5,1,0.2,0.7,-0.05,5,100,36
180,0.1,50,5,1,0.5,0.7,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.7,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.7,-0.05,0,100,94
180,0.1,50,5,1,0.05,0.8,-0.05,29,100,14
180,0.2,50,5,1,0.05,0.8,-0.05,28,100,6
180,0.4,50,5,1,0.05,0.8,-0.05,28,100,5
180,0.1,50,5,1,0.1,0.8,-0.05,6,100,44
180,0.2,50,5,1,0.1,0.8,-0.05,3,100,45
180,0.4,50,5,1,0.1,0.8,-0.05,8,100,28
180,0.1,50,5,1,0.2,0.8,-0.05,0,100,97
180,0.2,50,5,1,0.2,0.8,-0.05,0,100,99
180,0.4,50,5,1,0.2,0.8,-0.05,1,100,88
180,0.1,50,5,1,0.5,0.8,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.8,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.8,-0.05,0,100,100
180,0.1,50,5,1,0.05,0.9,-0.05,1,100,62
180,0.2,50,5,1,0.05,0.9,-0.05,1,100,56
180,0.4,50,5,1,0.05,0.9,-0.05,2,100,53
180,0.1,50,5,1,0.1,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.1,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.1,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.2,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.2,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.2,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.5,0.9,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.9,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.9,-0.05,0,100,100
180,0.1,50,5,1,0.05,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.05,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.05,0.95,-0.05,0,100,96
180,0.1,50,5,1,0.1,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.1,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.1,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.2,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.2,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.2,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.5,0.95,-0.05,0,100,100
180,0.2,50,5,1,0.5,0.95,-0.05,0,100,100
180,0.4,50,5,1,0.5,0.95,-0.05,0,100,100
180,0.1,50,5,1,0.05,0.7,-0.2,52,100,8
180,0.2,50,5,1,0.05,0.7,-0.2,40,100,7
180,0.4,50,5,1,0.05,0.7,-0.2,44,100,4
180,0.1,50,5,1,0.1,0.7,-0.2,13,100,13
180,0.2,50,5,1,0.1,0.7,-0.2,25,100,15
180,0.4,50,5,1,0.1,0.7,-0.2,28,100,7
180,0.1,50,5,1,0.2,0.7,-0.2,2,100,66
180,0.2,50,5,1,0.2,0.7,-0.2,4,100,57
180,0.4,50,5,1,0.2,0.7,-0.2,2,100,44
180,0.1,50,5,1,0.5,0.7,-0.2,0,100,100
